Year,Month,State,Species,Metric Tons,Pounds,$
1992,Jan,Florida West Coast,"HIND, RED",5.8,"12,873","21,778"
1993,Jan,Florida West Coast,"HIND, RED",2.8,"6,236","7,868"
1994,Jan,Florida West Coast,"HIND, RED",0.3,592,813
1995,Jan,Florida West Coast,"HIND, RED",0.2,511,"1,076"
1997,Jan,Florida West Coast,"HIND, RED",0.2,342,476
1998,Jan,Florida West Coast,"HIND, RED",0.1,225,344
1999,Jan,Florida West Coast,"HIND, RED",0.1,144,163
2000,Jan,Florida West Coast,"HIND, RED",0.2,420,551
2001,Jan,Florida West Coast,"HIND, RED",0.3,601,990
2002,Jan,Florida West Coast,"HIND, RED",0.1,147,190
2003,Jan,Florida West Coast,"HIND, RED",0.2,427,678
2004,Jan,Florida West Coast,"HIND, RED",0.2,468,777
2005,Jan,Florida West Coast,"HIND, RED",0.1,204,323
2006,Jan,Florida West Coast,"HIND, RED",0,55,103
2008,Jan,Florida West Coast,"HIND, RED",0,27,41
2009,Jan,Florida West Coast,"HIND, RED",0,42,88
2010,Jan,Florida West Coast,"HIND, RED",0,38,78
2012,Jan,Florida West Coast,"HIND, RED",0,12,21
2013,Jan,Florida West Coast,"HIND, RED",0,30,78
2016,Jan,Florida West Coast,"HIND, RED",0,15,38
1995,Jan,Florida West Coast,"HIND, ROCK",0,8,9
1997,Jan,Florida West Coast,"HIND, ROCK",0,67,80
1999,Jan,Florida West Coast,"HIND, ROCK",0,68,116
2002,Jan,Florida West Coast,"HIND, ROCK",0,34,36
2005,Jan,Florida West Coast,"HIND, ROCK",0,17,35
1992,Jan,Florida West Coast,"HIND, SPECKLED",0.2,418,592
1993,Jan,Florida West Coast,"HIND, SPECKLED",1.5,"3,293","5,092"
1994,Jan,Florida West Coast,"HIND, SPECKLED",0.3,632,"1,228"
1995,Jan,Florida West Coast,"HIND, SPECKLED",0.5,"1,194","2,193"
1996,Jan,Florida West Coast,"HIND, SPECKLED",0.2,509,946
1997,Jan,Florida West Coast,"HIND, SPECKLED",0.8,"1,771","3,235"
1998,Jan,Florida West Coast,"HIND, SPECKLED",0.2,458,946
1999,Jan,Florida West Coast,"HIND, SPECKLED",0.5,"1,045","2,052"
2000,Jan,Florida West Coast,"HIND, SPECKLED",0.3,667,"1,274"
2001,Jan,Florida West Coast,"HIND, SPECKLED",2.7,"6,019","12,544"
2002,Jan,Florida West Coast,"HIND, SPECKLED",0.6,"1,345","2,386"
2003,Jan,Florida West Coast,"HIND, SPECKLED",0.9,"1,908","3,506"
2004,Jan,Florida West Coast,"HIND, SPECKLED",1,"2,259","4,787"
2005,Jan,Florida West Coast,"HIND, SPECKLED",2.7,"5,975","13,515"
2006,Jan,Florida West Coast,"HIND, SPECKLED",1.6,"3,499","7,463"
2007,Jan,Florida West Coast,"HIND, SPECKLED",5.9,"13,014","35,987"
2008,Jan,Florida West Coast,"HIND, SPECKLED",4.6,"10,169","24,544"
2009,Jan,Florida West Coast,"HIND, SPECKLED",3.2,"7,060","15,104"
2010,Jan,Florida West Coast,"HIND, SPECKLED",0.9,"1,895","4,423"
2011,Jan,Florida West Coast,"HIND, SPECKLED",0.3,726,"1,873"
2012,Jan,Florida West Coast,"HIND, SPECKLED",0.4,793,"2,040"
2013,Jan,Florida West Coast,"HIND, SPECKLED",0.6,"1,248","3,438"
2014,Jan,Florida West Coast,"HIND, SPECKLED",0.4,793,"2,501"
2015,Jan,Florida West Coast,"HIND, SPECKLED",1.6,"3,539","11,970"
2016,Jan,Florida West Coast,"HIND, SPECKLED",0,89,283
1991,Jan,Louisiana,"HIND, RED",0,66,91
1992,Jan,Louisiana,"HIND, RED",0,50,69
1996,Jan,Louisiana,"HIND, RED",0,18,34
1998,Jan,Louisiana,"HIND, RED",0.1,114,221
2000,Jan,Louisiana,"HIND, RED",0,74,135
2002,Jan,Louisiana,"HIND, RED",0,63,106
2003,Jan,Louisiana,"HIND, RED",0,36,62
2005,Jan,Louisiana,"HIND, RED",0.1,159,274
1999,Jan,Louisiana,"HIND, SPECKLED",0,107,190
2002,Jan,Louisiana,"HIND, SPECKLED",0,22,38
2015,Jan,Louisiana,"HIND, SPECKLED",0,47,140
1991,Feb,Florida West Coast,"HIND, RED",3.1,"6,763","13,526"
1992,Feb,Florida West Coast,"HIND, RED",0.2,337,524
1993,Feb,Florida West Coast,"HIND, RED",0.2,551,699
1994,Feb,Florida West Coast,"HIND, RED",0,71,104
1996,Feb,Florida West Coast,"HIND, RED",0,72,100
1997,Feb,Florida West Coast,"HIND, RED",0,92,117
1998,Feb,Florida West Coast,"HIND, RED",0.1,305,396
1999,Feb,Florida West Coast,"HIND, RED",0.5,"1,062","1,658"
2000,Feb,Florida West Coast,"HIND, RED",0.3,730,964
2001,Feb,Florida West Coast,"HIND, RED",0.3,641,"1,279"
2002,Feb,Florida West Coast,"HIND, RED",0.3,629,936
2003,Feb,Florida West Coast,"HIND, RED",0.1,236,375
2004,Feb,Florida West Coast,"HIND, RED",0.4,959,"1,287"
2005,Feb,Florida West Coast,"HIND, RED",0.1,284,421
2006,Feb,Florida West Coast,"HIND, RED",0.1,121,186
2007,Feb,Florida West Coast,"HIND, RED",0,66,143
2008,Feb,Florida West Coast,"HIND, RED",0,50,85
2009,Feb,Florida West Coast,"HIND, RED",0,76,124
2010,Feb,Florida West Coast,"HIND, RED",0.1,295,760
2011,Feb,Florida West Coast,"HIND, RED",0,10,32
2012,Feb,Florida West Coast,"HIND, RED",0,32,66
2013,Feb,Florida West Coast,"HIND, RED",0,5,9
2014,Feb,Florida West Coast,"HIND, RED",0,47,123
2016,Feb,Florida West Coast,"HIND, RED",0,15,35
1994,Feb,Florida West Coast,"HIND, ROCK",0,105,151
1996,Feb,Florida West Coast,"HIND, ROCK",0.2,439,695
2000,Feb,Florida West Coast,"HIND, ROCK",0,74,110
2002,Feb,Florida West Coast,"HIND, ROCK",0,28,34
2014,Feb,Florida West Coast,"HIND, ROCK",0,62,240
2016,Feb,Florida West Coast,"HIND, ROCK",0,10,14
1991,Feb,Florida West Coast,"HIND, SPECKLED",0.2,438,659
1992,Feb,Florida West Coast,"HIND, SPECKLED",0.9,"1,949","3,003"
1993,Feb,Florida West Coast,"HIND, SPECKLED",0.4,787,"1,238"
1994,Feb,Florida West Coast,"HIND, SPECKLED",0.7,"1,562","2,869"
1995,Feb,Florida West Coast,"HIND, SPECKLED",1.6,"3,500","6,654"
1996,Feb,Florida West Coast,"HIND, SPECKLED",0.7,"1,616","2,764"
1997,Feb,Florida West Coast,"HIND, SPECKLED",0.8,"1,688","2,819"
1998,Feb,Florida West Coast,"HIND, SPECKLED",0.5,"1,018","1,892"
1999,Feb,Florida West Coast,"HIND, SPECKLED",1.4,"3,060","4,525"
2000,Feb,Florida West Coast,"HIND, SPECKLED",0.7,"1,568","3,416"
2001,Feb,Florida West Coast,"HIND, SPECKLED",2.7,"6,054","12,534"
2002,Feb,Florida West Coast,"HIND, SPECKLED",1.6,"3,488","6,041"
2003,Feb,Florida West Coast,"HIND, SPECKLED",2.4,"5,217","10,542"
2004,Feb,Florida West Coast,"HIND, SPECKLED",6.4,"14,051","33,564"
2005,Feb,Florida West Coast,"HIND, SPECKLED",4.2,"9,337","20,289"
2006,Feb,Florida West Coast,"HIND, SPECKLED",5.6,"12,260","28,206"
2007,Feb,Florida West Coast,"HIND, SPECKLED",5.7,"12,564","35,054"
2008,Feb,Florida West Coast,"HIND, SPECKLED",6.7,"14,742","36,833"
2009,Feb,Florida West Coast,"HIND, SPECKLED",2.7,"5,990","13,018"
2010,Feb,Florida West Coast,"HIND, SPECKLED",0.5,"1,088","2,858"
2011,Feb,Florida West Coast,"HIND, SPECKLED",1,"2,143","5,272"
2012,Feb,Florida West Coast,"HIND, SPECKLED",0.9,"2,063","5,434"
2013,Feb,Florida West Coast,"HIND, SPECKLED",0.7,"1,495","4,230"
2014,Feb,Florida West Coast,"HIND, SPECKLED",0.7,"1,542","4,942"
2015,Feb,Florida West Coast,"HIND, SPECKLED",1.2,"2,563","8,693"
2016,Feb,Florida West Coast,"HIND, SPECKLED",0.6,"1,337","4,618"
1991,Feb,Louisiana,"HIND, RED",0,69,104
1995,Feb,Louisiana,"HIND, RED",0.1,127,216
1996,Feb,Louisiana,"HIND, RED",0,6,12
1998,Feb,Louisiana,"HIND, RED",0,7,14
1999,Feb,Louisiana,"HIND, RED",0,22,37
2000,Feb,Louisiana,"HIND, RED",0,52,99
2001,Feb,Louisiana,"HIND, RED",0,27,39
2002,Feb,Louisiana,"HIND, RED",0,102,189
2003,Feb,Louisiana,"HIND, RED",0,106,181
2004,Feb,Louisiana,"HIND, RED",0,57,84
2005,Feb,Louisiana,"HIND, RED",0.1,165,194
2007,Feb,Louisiana,"HIND, RED",0,53,86
1995,Feb,Louisiana,"HIND, ROCK",0,97,168
1996,Feb,Louisiana,"HIND, ROCK",0.3,769,"1,473"
1990,Feb,Louisiana,"HIND, SPECKLED",0.2,520,875
2002,Feb,Louisiana,"HIND, SPECKLED",0,10,17
2003,Feb,Louisiana,"HIND, SPECKLED",0,61,121
2004,Feb,Louisiana,"HIND, SPECKLED",0.1,145,285
2005,Feb,Louisiana,"HIND, SPECKLED",0,25,54
2007,Feb,Louisiana,"HIND, SPECKLED",0.1,118,238
1993,Mar,Florida West Coast,"HIND, RED",0.6,"1,235","1,601"
1994,Mar,Florida West Coast,"HIND, RED",0.2,350,485
1995,Mar,Florida West Coast,"HIND, RED",0.2,489,968
1996,Mar,Florida West Coast,"HIND, RED",0,63,87
1997,Mar,Florida West Coast,"HIND, RED",0.1,257,376
1998,Mar,Florida West Coast,"HIND, RED",0,73,100
1999,Mar,Florida West Coast,"HIND, RED",0.3,731,"1,169"
2000,Mar,Florida West Coast,"HIND, RED",0.2,479,728
2001,Mar,Florida West Coast,"HIND, RED",0.1,299,356
2002,Mar,Florida West Coast,"HIND, RED",0.1,139,194
2003,Mar,Florida West Coast,"HIND, RED",0.5,"1,057","2,342"
2004,Mar,Florida West Coast,"HIND, RED",0.4,840,"1,841"
2005,Mar,Florida West Coast,"HIND, RED",0.1,130,211
2006,Mar,Florida West Coast,"HIND, RED",0,99,161
2007,Mar,Florida West Coast,"HIND, RED",0,36,73
2009,Mar,Florida West Coast,"HIND, RED",0.1,178,344
2010,Mar,Florida West Coast,"HIND, RED",0,16,41
2011,Mar,Florida West Coast,"HIND, RED",0,15,42
2014,Mar,Florida West Coast,"HIND, RED",0,94,310
2015,Mar,Florida West Coast,"HIND, RED",0,52,172
2016,Mar,Florida West Coast,"HIND, RED",0,17,45
1994,Mar,Florida West Coast,"HIND, ROCK",0,67,103
1995,Mar,Florida West Coast,"HIND, ROCK",0,22,29
1996,Mar,Florida West Coast,"HIND, ROCK",0,25,41
2000,Mar,Florida West Coast,"HIND, ROCK",0.2,478,"1,080"
2002,Mar,Florida West Coast,"HIND, ROCK",0,4,9
2006,Mar,Florida West Coast,"HIND, ROCK",0,6,10
2009,Mar,Florida West Coast,"HIND, ROCK",0,34,60
2015,Mar,Florida West Coast,"HIND, ROCK",0,23,63
2016,Mar,Florida West Coast,"HIND, ROCK",0,13,26
1992,Mar,Florida West Coast,"HIND, SPECKLED",0.9,"1,920","2,927"
1993,Mar,Florida West Coast,"HIND, SPECKLED",0.3,746,"1,179"
1994,Mar,Florida West Coast,"HIND, SPECKLED",3.3,"7,215","13,836"
1995,Mar,Florida West Coast,"HIND, SPECKLED",2.9,"6,406","12,084"
1996,Mar,Florida West Coast,"HIND, SPECKLED",0.6,"1,369","2,145"
1997,Mar,Florida West Coast,"HIND, SPECKLED",2.3,"5,073","9,768"
1998,Mar,Florida West Coast,"HIND, SPECKLED",1,"2,116","4,190"
1999,Mar,Florida West Coast,"HIND, SPECKLED",1.5,"3,291","6,364"
2000,Mar,Florida West Coast,"HIND, SPECKLED",2.7,"5,892","12,736"
2001,Mar,Florida West Coast,"HIND, SPECKLED",5.8,"12,884","28,407"
2002,Mar,Florida West Coast,"HIND, SPECKLED",3.4,"7,581","16,862"
2003,Mar,Florida West Coast,"HIND, SPECKLED",3.6,"7,851","16,811"
2004,Mar,Florida West Coast,"HIND, SPECKLED",11.2,"24,713","54,723"
2005,Mar,Florida West Coast,"HIND, SPECKLED",9.1,"20,010","46,010"
2006,Mar,Florida West Coast,"HIND, SPECKLED",9.7,"21,345","49,628"
2007,Mar,Florida West Coast,"HIND, SPECKLED",7.9,"17,336","48,464"
2008,Mar,Florida West Coast,"HIND, SPECKLED",5.4,"11,838","31,592"
2009,Mar,Florida West Coast,"HIND, SPECKLED",6.2,"13,683","31,248"
2010,Mar,Florida West Coast,"HIND, SPECKLED",0.7,"1,555","4,253"
2011,Mar,Florida West Coast,"HIND, SPECKLED",1.1,"2,340","6,257"
2012,Mar,Florida West Coast,"HIND, SPECKLED",1.2,"2,709","7,407"
2013,Mar,Florida West Coast,"HIND, SPECKLED",1.1,"2,522","7,613"
2014,Mar,Florida West Coast,"HIND, SPECKLED",1.7,"3,646","11,208"
2015,Mar,Florida West Coast,"HIND, SPECKLED",2.2,"4,799","16,930"
